Numero Cliente,Nombre Cliente
588816,Grupo Vaqueiro Ferretero S.A. de C.V.
401692,Pladepomex S.A de C.V.
596281,Dimexperf S.A. de C.V.
596282,Dimexperf S.A. de C.V.
596167,Dimexperf S.A. de C.V.
596666,Dimexperf S.A. de C.V.
413938,Pladepomex S.A de C.V.
418977,Pladepomex S.A de C.V.
407339,Pladepomex S.A de C.V.
597406,Pladepomex S.A de C.V.
