marcas
ADIR
AKSI
BELLOTA
BOXER
CADEMEX
CADENA
CELTA
CH
COOPER TOOLS ® (*)
COHESA
COLLINS
CUERVO
DISSTON
DOGO TOOLS
FOY
FOY GELB
FULGORE
GONI
HECORT
IHARSA
IMACASA
KLEIN
KNOVA
LIONS TOOLS (**)
LOCK
LUFKIN
MAX TOOLS
METROMEX
MIKEL´S
NICHOLSON
ROTTER
SANELEC
SANTUL
STANLEY
SURTEK
TAMER
TOOLCRAFT
TORILLO
TORILLO HERMANOS
TULMEX
URREA
WELLER
WILSON
"*Nicholson, Disston, Metromex, Weller, H.K. Porter, Collins, Atkins, Erem, Xcelite, Campbell, Onix Plata, Lufkin."
