código,clave,descripción,margen de mercado,caja,master,precio,unidad,ean,precio mínimo de venta 2025,precio mínimo de venta 2026,alta rotación,precio mayoreo con IVA,precio distribuidor con IVA,precio público con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio público sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripción Familia,Peso[Kg],Volumen[cm3],HD
10035,ORG-11,"Organizador 9' con 11 compartimentos, TRUPER",MM00,6,18,47,Pieza,7.51E+12,30,28,0,39,30,47,33.62,25.86,40.52,Truper,37.07,43,31261500,Cubiertas y cajas,P022,Cajas de herramientas,0.202,1288.105,10035
10210,AJ-6,"Arco junior 6' para segueta, TRUPER",MM00,6,36,98,Pieza,7.50E+12,62,59,0,80,62,98,68.97,53.45,84.48,Truper,75.86,88,27111500,Herramientas de corte y engarzado y punzones,P004,Arcos para seguetas,0.16,442.624,10210
10220,REP-AJ-6,"Blíster con 5 seguetas de repuesto para AJ-6, TRUPER",MM00,12,72,83,Pieza,7.50E+12,52,49,0,68,52,83,58.62,44.83,71.55,Truper,64.66,75,27111500,Herramientas de corte y engarzado y punzones,P004,Arcos para seguetas,0.03,227.813,10220
10234,ATT-12,"Arco 12' profesional tubular de acero para segueta, TRUPER",MM00,3,36,203,Pieza,7.50E+12,139,139,0,168,139,203,144.83,119.83,175,Truper,157.76,183,27111500,Herramientas de corte y engarzado y punzones,P004,Arcos para seguetas,0.491,1353.886,10234
10235,FDO-2,"Fumigador de 2 litros doméstico, TRUPER",MM00,8,0,152,Pieza,7.50E+12,105,99,0,125,105,152,107.76,90.52,131.03,Truper,118.1,137,21101800,Aparatos dispersores o aspersores para agricultura,P825,Fumigadores domésticos y atomizadores,0.426,8353.657,10235
10236,MAT-12,"Mini arco 12' de aluminio para segueta, TRUPER",MM00,6,48,115,Pieza,7.50E+12,72,69,0,95,72,115,81.9,62.07,99.14,Truper,90.52,105,27111500,Herramientas de corte y engarzado y punzones,P004,Arcos para seguetas,0.115,349.36,10236
10258,AJT-24,"Arco jardinero tubular de 24', TRUPER",MM00,3,24,270,Pieza,7.50E+12,175,175,0,225,175,270,193.97,150.86,232.76,Truper,211.21,245,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P431,Arcos jardineros nacionales,0.86,4704.588,10258
10260,AJT-30,"Arco jardinero tubular de 30', TRUPER",MM00,3,24,310,Pieza,7.50E+12,195,195,0,255,195,310,219.83,168.1,267.24,Truper,241.38,280,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P431,Arcos jardineros nacionales,1.01,6237.711,10260
10270,REP-AJT-24,"Segueta de repuesto para arco jardinero AJT-24, TRUPER",MM00,12,48,52,Pieza,7.50E+12,31,31,0,43,31,52,37.07,26.72,44.83,Truper,40.52,47,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P431,Arcos jardineros nacionales,0.065,68.736,10270
10271,REP-AJT-30,"Segueta de repuesto para arco jardinero AJT-30, TRUPER",MM00,12,48,62,Pieza,7.50E+12,37,37,0,52,37,62,44.83,31.9,53.45,Truper,49.14,57,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P431,Arcos jardineros nacionales,0.075,150.36,10271
10378,M-FLEX,"Conexión 3/4' antitorceduras para manguera, TRUPER",MM00,6,24,105,Pieza,7.50E+12,65,59,0,85,65,105,73.28,56.03,90.52,Truper,81.9,95,21101800,Aparatos dispersores o aspersores para agricultura,P776,Conexiones de manguera para jardín,0.121,365.8,10378
10380,CHP-20X,Caja para herramienta 20' industrial con broches metálicos,MM00,2,0,430,Pieza,7.50E+12,295,295,1,355,295,430,306.03,254.31,370.69,Truper,336.21,390,31261500,Cubiertas y cajas,P022,Cajas de herramientas,2.515,31760.25,10380
10381,EMP-MA10,"Bolsa con 10 empaques de PVC antifuga para manguera, TRUPER",MM00,24,96,15.5,Pieza,7.50E+12,9,8,0,12.5,9,15.5,10.78,7.76,13.36,Truper,12.07,14,21101800,Aparatos dispersores o aspersores para agricultura,P776,Conexiones de manguera para jardín,0.04,181.632,10381
10387,GAN-MA,"Portamanguera de plástico, TRUPER",MM00,6,0,109,Pieza,7.50E+12,69,69,0,89,69,109,76.72,59.48,93.97,Truper,85.34,99,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P294,Porta mangueras,0.284,4957.2,10387
10400,MUT-830,"Multímetro digital escolar, TRUPER",MM00,4,16,180,Pieza,7.50E+12,125,119,0,150,125,180,129.31,107.76,155.17,Truper,142.24,165,41113630,Multímetros,P166,Multímetros,0.191,744.8,10400
10401,MUT-33,"Multímetro digital junior, TRUPER",MM00,2,16,400,Pieza,7.50E+12,275,275,0,335,275,400,288.79,237.07,344.83,Truper,314.66,365,41113630,Multímetros,P166,Multímetros,0.265,1464.96,10401
10403,MUT-105,Multímetro digital para mant automotriz con RMS verdadero,MM00,2,8,870,Pieza,7.50E+12,595,595,0,715,595,870,616.38,512.93,750,Truper,681.03,790,41113630,Multímetros,P166,Multímetros,0.545,2405.48,10403
10404,MUT-202,"Multímetro para mantenimiento industrial con gancho, TRUPER",MM00,2,8,960,Pieza,7.50E+12,650,645,0,785,650,960,676.72,560.34,827.59,Truper,745.69,865,41113630,Multímetros,P166,Multímetros,0.569,2616.705,10404
10539,CPE-16N,"Caja para pesca de 16' con 3 bandejas deslizables, TRUPER",MM00,2,0,245,Pieza,7.51E+12,170,169,0,205,170,245,176.72,146.55,211.21,Truper,193.97,225,31261500,Cubiertas y cajas,P022,Cajas de herramientas,1.447,18488.25,10539
10553,ATJ,"Azadón jardinero Classic, mango de madera 54', TRUPER",MM00,6,0,205,Pieza,7.50E+12,130,119,0,170,130,205,146.55,112.07,176.72,Truper,159.48,185,27112002,Azadones,P739,Azadones de zanco,0.816,4664.992,10553
10562,ATJ-C,"Azadón tomatero, mango corto de madera 18', TRUPER",MM00,6,0,118,Pieza,7.50E+12,75,69,0,98,75,118,84.48,64.66,101.72,Truper,93.1,108,27112002,Azadones,P739,Azadones de zanco,0.61,1580.774,10562
10568,CUL,"Cultivador forjado, 4 dientes, mango de madera 54', TRUPER",MM00,3,0,205,Pieza,7.50E+12,130,119,0,170,130,205,146.55,112.07,176.72,Truper,159.48,185,27112002,Azadones,P739,Azadones de zanco,0.903,3824.47,10568
10615,AL-1M,"Azadón Lane No. 1 de 1.8 lb, mango de fibra 54', TRUPER",MM00,4,0,360,Pieza,7.50E+12,250,250,0,300,250,360,258.62,215.52,310.34,Truper,284.48,330,27112002,Azadones,P738,Azadones de ojo,1.69,6277.444,10615
10618,AL-2M,"Azadón Lane No. 2 de 2.0 lb, mango de fibra 54', TRUPER",MM00,4,0,365,Pieza,7.50E+12,255,255,0,305,255,365,262.93,219.83,314.66,Truper,288.79,335,27112002,Azadones,P738,Azadones de ojo,1.73,6383.786,10618
10621,AL-3M,"Azadón Lane No. 3 de 2.1 lb, mango de fibra 54', TRUPER",MM00,4,0,375,Pieza,7.50E+12,260,260,0,310,260,375,267.24,224.14,323.28,Truper,293.1,340,27112002,Azadones,P738,Azadones de ojo,1.915,7341.36,10621
10750,BAP-100,"Barreta de punta de 7/8' x 100 cm, escoplo 60 mm, TRUPER",MM00,2,0,360,Pieza,7.50E+12,250,235,0,300,250,360,258.62,215.52,310.34,Truper,284.48,330,27112017,Barras de cavar o barretones,P767,"Barretas, grifas y cuñas nacionales",3.14,1005.389,10750
10756,BAP-150,"Barreta de punta de 1'x150 cm, escoplo 72 mm, TRUPER",MM00,2,0,660,Pieza,7.50E+12,450,445,0,550,450,660,474.14,387.93,568.97,Truper,517.24,600,27112017,Barras de cavar o barretones,P767,"Barretas, grifas y cuñas nacionales",6.24,1999.2,10756
10762,BAP-175,"Barreta de punta de 1'x175 cm, escoplo 72 mm, TRUPER",MM00,2,0,790,Pieza,7.50E+12,550,525,0,650,550,790,560.34,474.14,681.03,Truper,616.38,715,27112017,Barras de cavar o barretones,P767,"Barretas, grifas y cuñas nacionales",7.38,2375.275,10762
10836,FUT-5,"Fumigador jardinero 5 L (1.3 gal), TRUPER",MM00,1,4,360,Pieza,7.51E+12,250,225,0,300,250,360,300,250,360,Truper,330,330,21101800,Aparatos dispersores o aspersores para agricultura,P826,Fumigadores jardineros y de mochila,1.32,17036.224,10836
10837,FUT-7,"Fumigador jardinero 7 L (1.8 gal), TRUPER",MM00,1,4,400,Pieza,7.51E+12,275,255,0,335,275,400,335,275,400,Truper,365,365,21101800,Aparatos dispersores o aspersores para agricultura,P826,Fumigadores jardineros y de mochila,1.53,20158.6,10837
10853,BU-45,"Barreta de uña de 3/4' x 45 cm, TRUPER",MM00,3,0,170,Pieza,7.50E+12,115,105,0,140,115,170,120.69,99.14,146.55,Truper,133.62,155,27112017,Barras de cavar o barretones,P767,"Barretas, grifas y cuñas nacionales",1.306,1151.124,10853
10856,BU-60,"Barreta de uña de 3/4' x 60 cm, TRUPER",MM00,3,0,220,Pieza,7.50E+12,150,135,0,180,150,220,155.17,129.31,189.66,Truper,172.41,200,27112017,Barras de cavar o barretones,P767,"Barretas, grifas y cuñas nacionales",1.66,762.845,10856
10859,BU-75,"Barreta de uña de 3/4' x 75 cm, TRUPER",MM00,3,0,245,Pieza,7.50E+12,170,155,0,205,170,245,176.72,146.55,211.21,Truper,193.97,225,27112017,Barras de cavar o barretones,P767,"Barretas, grifas y cuñas nacionales",2.013,1585.5,10859
10865,GRT-19,"Grifa de dos bocas de 5/8 y 1/2', TRUPER",MM00,6,0,225,Pieza,7.50E+12,155,145,0,185,155,225,159.48,133.62,193.97,Truper,176.72,205,27112017,Barras de cavar o barretones,P767,"Barretas, grifas y cuñas nacionales",1.807,704.302,10865
10895,ORG-64,"Organizador con 64 gavetas, TRUPER",MM00,1,0,910,Pieza,7.51E+12,625,625,0,755,625,910,650.86,538.79,784.48,Truper,715.52,830,31261500,Cubiertas y cajas,P022,Cajas de herramientas,3.4,35547,10895
10902,CHP-23R,"Caja para herramienta, 23'x17' con ruedas, mango telescópico",MM00,1,0,1015,Pieza,7.51E+12,695,695,0,835,695,1015,719.83,599.14,875,Truper,793.1,920,31261500,Cubiertas y cajas,P022,Cajas de herramientas,5.84,110500,10902
10927,TJA-2,"Talacho-pico, mango de madera 14', TRUPER",MM00,4,0,215,Pieza,7.51E+12,135,119,0,175,135,215,150.86,116.38,185.34,Truper,168.1,195,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P075,Herramientas de jardín nacional,0.9,3786.188,10927
10940,INF-12,"Inflallantas con sellador, 12 oz (340 g), TRUPER",MM00,6,48,87,Pieza,7.50E+12,55,52,0,72,55,87,62.07,47.41,75,Truper,68.1,79,25191700,Equipo para el mantenimiento de vehículo,P502,Accesorios para auto,0.486,890.663,10940
10970,BC-12M,"Berbiquí profesional 12' perilla de madera, TRUPER",MM00,3,12,830,Pieza,7.50E+12,525,525,0,685,525,830,590.52,452.59,715.52,Truper,650.86,755,27111515,Taladro de mano,P011,Berbiquíes,0.945,2518.448,10970
11004,SICI-7-1/4A3,"Sierra circular 7-1/4', 1750W, TRUPER PRO",MM0,1,4,1820,Pieza,7.51E+12,1500,1500,0,1650,1500,1820,1422.41,1293.1,1568.97,Truper,1495.69,1735,27111508,Sierras,P097,Máquinas portátiles con cable,5.12,27196.304,11004
11006,BPJ-5,"Bieldo para paja, 5 dientes, mango largo 48', TRUPER",MM00,3,0,545,Pieza,7.50E+12,350,335,0,450,350,545,387.93,301.72,469.83,Truper,426.72,495,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P401,Bieldos nacionales,1.92,5877.135,11006
11009,BPJ-6,"Bieldo para paja, 6 dientes, mango largo 48', TRUPER",MM00,3,0,660,Pieza,7.50E+12,425,415,0,550,425,660,474.14,366.38,568.97,Truper,517.24,600,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P401,Bieldos nacionales,2.113,10031.908,11009
11018,BJ-4P,"Bieldo para jardín, 4 dientes, mgo 29', puño 'Y', TRUPER",MM00,3,0,470,Pieza,7.50E+12,300,289,0,390,300,470,336.21,258.62,405.17,Truper,370.69,430,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P401,Bieldos nacionales,1.727,5849.834,11018
11139,CHA-14NC,"Caja para herramienta de 14' con compartimentos, TRUPER",MM00,3,0,170,Pieza,7.51E+12,115,115,0,140,115,170,120.69,99.14,146.55,Truper,133.62,155,31261500,Cubiertas y cajas,P022,Cajas de herramientas,0.858,11280.125,11139
11141,CHA-16NC,"Caja para herramienta de 16' con compartimentos, TRUPER",MM00,2,0,270,Pieza,7.51E+12,185,185,0,225,185,270,193.97,159.48,232.76,Truper,211.21,245,31261500,Cubiertas y cajas,P022,Cajas de herramientas,1.32,21197,11141
11295,JBCT-6,"Juego de 6 brocas para concreto, TRUPER",MM00,6,36,201,Juego,7.50E+12,126,105,0,166,126,201,143.1,108.62,173.28,Truper,156.03,181,27111543,Broca de mampostería,P015,Brocas para concreto,0.214,250.843,11295
11335,JBAC-11,"Juego de 11 brocas para metal y concreto en estuche, TRUPER",MM00,3,36,430,Set,7.50E+12,275,199,0,355,275,430,306.03,237.07,370.69,Expert,336.21,390,27111543,Broca de mampostería,P819,Juegos mixtos de brocas,0.269,1352.592,11335
11339,JBMX-9,"Juego de 9 brocas para metal, concreto y madera, TRUPER",MM00,6,36,250,Set,7.50E+12,160,129,0,210,160,250,181.03,137.93,215.52,Truper,198.28,230,27111543,Broca de mampostería,P819,Juegos mixtos de brocas,0.126,390.805,11339
11365,FA-POD-418,"Filtro de aire para podadora P-418, TRUPER",MM00,1,12,118,Pieza,7.51E+12,75,75,0,98,75,118,84.48,64.66,101.72,Truper,93.1,108,47121602,Aspiradoras,P174,Podadoras (refacciones y accesorios),0.056,524.085,11365
11392,LLM-2,"Llana 11' canto recto, tipo español, mango madera, TRUPER",MM00,6,24,87,Pieza,7.51E+12,55,49,0,72,55,87,62.07,47.41,75,Truper,68.1,79,27112200,Herramientas de albañilería y concreto,P768,Llanas,0.331,2159.136,11392
11402,JBAV-13,"Juego de 13 brocas HSS para metal en estuche, TRUPER EXPERT",MM00,3,36,509,Pieza,7.50E+12,349,335,0,419,349,509,361.21,300.86,438.79,Expert,395.69,459,27112800,Conexiones de herramientas y accesorios,P017,Brocas para metal,0.265,1375.67,11402
11506,CHP-23X,Caja para herramienta 23' industrial con broches metálicos,MM00,2,0,545,Pieza,7.50E+12,375,375,1,450,375,545,387.93,323.28,469.83,Truper,426.72,495,31261500,Cubiertas y cajas,P022,Cajas de herramientas,3.21,39577.75,11506
11535,CO-512,"Carda copa 5' alambre ondulado fino, eje 5/8'-11, TRUPER",MM00,4,16,290,Pieza,7.50E+12,185,185,0,240,185,290,206.9,159.48,250,Truper,228.45,265,23131503,Ruedas de esmerilado,P025,Cardas,0.7,2484.3,11535
11569,CA-2,"Carda circular 2' alambre grueso para taladro, TRUPER",MM00,6,72,39,Pieza,7.50E+12,25,25,0,33,25,39,28.45,21.55,33.62,Truper,31.03,36,23131503,Ruedas de esmerilado,P025,Cardas,0.049,270.48,11569
11570,CA-3,"Carda circular 3' alambre grueso para taladro, TRUPER",MM00,6,36,60,Pieza,7.50E+12,39,39,0,50,39,60,43.1,33.62,51.72,Truper,47.41,55,23131503,Ruedas de esmerilado,P025,Cardas,0.101,488.12,11570
11571,CO-2,"Carda de copa 1-3/4' alambre grueso para taladro, TRUPER",MM00,6,72,60,Pieza,7.50E+12,39,39,0,50,39,60,43.1,33.62,51.72,Truper,47.41,55,23131503,Ruedas de esmerilado,P025,Cardas,0.081,390.685,11571
11572,CO-3,"Carda de copa 2-3/4' alambre grueso para taladro, TRUPER",MM00,6,36,77,Pieza,7.50E+12,49,49,0,64,49,77,55.17,42.24,66.38,Truper,60.34,70,23131503,Ruedas de esmerilado,P025,Cardas,0.184,860.22,11572
11577,JCA-4P,"Juego de 4 cardas para taladro, TRUPER",MM00,6,36,249,Set,7.50E+12,159,159,0,209,159,249,180.17,137.07,214.66,Truper,197.41,229,23131503,Ruedas de esmerilado,P025,Cardas,0.354,1480.118,11577
11590,CA-4,"Carda circular 4' alambre grueso para taladro, TRUPER",MM00,6,36,87,Pieza,7.50E+12,55,55,0,72,55,87,62.07,47.41,75,Truper,68.1,79,23131503,Ruedas de esmerilado,P025,Cardas,0.16,793.673,11590
11592,CO-2-3/4F,"Carda de copa 2-3/4' alambre fino para taladro, TRUPER",MM00,6,36,90,Pieza,7.50E+12,57,57,0,74,57,90,63.79,49.14,77.59,Truper,70.69,82,23131503,Ruedas de esmerilado,P025,Cardas,0.165,864.454,11592
11740,CAT-45ND,"Carretilla 4.5 ft3 Neumática, bastidor tubular, TRUPER",MM00,1,0,1550,Pieza,7.50E+12,1275,1275,1,1400,1275,1550,1206.9,1099.14,1336.21,Truper,1267.24,1470,24101507,Carretillas,P432,Carretillas nacionales y Latam,16.451,72311.876,11740
11745,FCN-55M,"Flexómetro contra impactos 5.5 m, Cinta Negra 25 mm, TRUPER",MM00,6,72,235,Pieza,7.51E+12,150,139,0,195,150,235,168.1,129.31,202.59,Truper,185.34,215,27111801,Cintas métricas,P064,Flexómetros,0.352,566.06,11745
11747,FCN-8M,"Flexómetro contra impactos 8 m, Cinta Negra 25 mm, TRUPER",MM00,3,48,290,Pieza,7.51E+12,185,175,0,240,185,290,206.9,159.48,250,Truper,228.45,265,27111801,Cintas métricas,P064,Flexómetros,0.483,1014.402,11747
11752,CAT-50ND,"Carretilla 5.5 ft3 Neumática, bastidor tubular, TRUPER",MM00,1,0,1620,Pieza,7.50E+12,1325,1325,1,1460,1325,1620,1258.62,1142.24,1396.55,Truper,1327.59,1540,24101507,Carretillas,P432,Carretillas nacionales y Latam,17.034,71760.874,11752
11775,CAZ-120X,"Cortador azulejo 47' (120cm) gran formato c/maletín, EXPERT",MM00,1,0,7600,Pieza,7.51E+12,5250,4950,0,6300,5250,7600,5431.03,4525.86,6551.72,Expert,5991.38,6950,23101508,Cortadoras,P045,Cortadores de azulejo,15.34,96550.48,11775
11776,CAT-60ND,"Carretilla 6 ft3 Neumática, bastidor tubular, TRUPER",MM00,1,0,1710,Pieza,7.50E+12,1400,1445,1,1550,1400,1710,1336.21,1206.9,1474.14,Truper,1405.17,1630,24101507,Carretillas,P432,Carretillas nacionales y Latam,18.62,89701.235,11776
11777,CAT-60PL,"Carretilla concha plástica 6 ft3 Neumática, bastidor tubular",MM00,1,0,1395,Pieza,7.50E+12,1150,1145,1,1265,1150,1395,1090.52,991.38,1202.59,Truper,1146.55,1330,24101507,Carretillas,P432,Carretillas nacionales y Latam,15.575,102509.666,11777
11811,CHA-19S,Caja p/herramienta 19' c/compartimentos y broches metálicos,MM00,2,0,380,Pieza,7.51E+12,265,265,0,315,265,380,271.55,228.45,327.59,Truper,297.41,345,24121500,"Cajas, bolsas y sacos para empaquetado",P022,Cajas de herramientas,2.12,33064.875,11811
11812,CHA-22S ,Caja p/herramienta 22' c/compartimentos y broches metálicos,MM00,1,0,525,Pieza,7.51E+12,365,365,0,435,365,525,375,314.66,452.59,Truper,409.48,475,24121500,"Cajas, bolsas y sacos para empaquetado",P022,Cajas de herramientas,2.58,50960,11812
11851,ORG-16,"Organizador con 16 gavetas, TRUPER",MM00,1,8,400,Pieza,7.51E+12,255,255,0,335,255,400,288.79,219.83,344.83,Truper,314.66,365,24121500,"Cajas, bolsas y sacos para empaquetado",P022,Cajas de herramientas,1.251,12281.688,11851
11852,RN,"Llanta completa neumática 16', incluye eje y baleros",MM00,1,0,435,Pieza,7.50E+12,300,295,0,360,300,435,310.34,258.62,375,Truper,340.52,395,24101507,Carretillas,P433,Refacciones de carretillas,3.88,24960,11852
11853,LI-CA-800X,"Linterna de minero LED 800 lm, de 4 pilas AA, TRUPER EXPERT",MM00,2,16,400,Pieza,7.51E+12,275,275,0,335,275,400,288.79,237.07,344.83,Expert,314.66,365,39111610,Linternas,P081,Linternas,0.251,2904,11853
11854,CARN,Caja c/llanta reforzada y acc. p/carretilla TRUPER,MM00,1,0,965,Pieza,7.50E+12,655,595,0,790,655,965,681.03,564.66,831.9,Truper,750,870,24101507,Carretillas,P433,Refacciones de carretillas,8.175,31860,11854
11856,SS,"Llanta neumática rodada lisa 16', sin cámara, TRUPER",MM00,5,20,137,Pieza,7.50E+12,95,95,0,115,95,137,99.14,81.9,118.1,Truper,107.76,125,24101507,Carretillas,P433,Refacciones de carretillas,1.084,5565.806,11856
11866,CM,"Cámara para llanta de 16', para carretilla TRUPER",MM00,10,50,53,Pieza,7.50E+12,37,37,0,44,37,53,37.93,31.9,45.69,Truper,41.38,48,24101507,Carretillas,P433,Refacciones de carretillas,0.399,1095.395,11866
11867,PUDE-9060,"Estuche con 5 extensiones de 60 mm, magnéticas, EXPERT",MM00,6,72,123,Set,7.51E+12,79,79,0,103,79,123,88.79,68.1,106.03,Expert,97.41,113,31162800,Ferretería en general,P118,Puntas para desarmador,0.12,106.757,11867
11885,PUN-19X,"Juego de 19 puntas mixtas largo 1' estuche plástico, EXPERT",MM00,6,48,175,Set,7.51E+12,110,110,0,145,110,175,125,94.83,150.86,Expert,137.93,160,31162800,Ferretería en general,P118,Puntas para desarmador,0.21,512.3,11885
11915,GAS-275,"Lata de gas de 275 g con válvula roscada, TRUPER",MM00,12,48,58,Pieza,7.50E+12,40,40,0,48,40,58,41.38,34.48,50,Truper,45.69,53,24112200,Latas y cubos,P441,Mecheros y boquillas de gas,0.361,1204.56,11915
11924,BOQ-R,"Soplete de aluminio, encendido electrónico, válvula roscada",MM00,3,36,310,Pieza,7.50E+12,215,215,0,255,215,310,219.83,185.34,267.24,Truper,241.38,280,23271800,"Suministros para soldar, soldadura fuerte y soldadura débil",P441,Mecheros y boquillas de gas,0.218,754.751,11924
11940,SELO-80,"Bolsa con 75 separadores de 8 mm de losetas, TRUPER",MM00,6,36,51,Bolsa,7.50E+12,32,32,0,42,32,51,36.21,27.59,43.97,Truper,39.66,46,31162314,Espaciador de baldosas,P288,Separadores de loseta,0.12,489.701,11940
11941,SELO-100,"Bolsa con 75 separadores de 10 mm de losetas, TRUPER",MM00,6,36,66,Bolsa,7.50E+12,42,42,0,55,42,66,47.41,36.21,56.9,Truper,51.72,60,31162314,Espaciador de baldosas,P288,Separadores de loseta,0.137,489.701,11941
11973,CA-36,"Cavador mangos de madera 48', TRUPER",MM00,2,0,585,Pieza,7.50E+12,400,395,0,485,400,585,418.1,344.83,504.31,Truper,461.21,535,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P402,Cavadores nacionales y Latam,3.62,13965.65,11973
11975,REV-12M,"Revolvedor para mortero, 120mm de diámetro, TRUPER",MM00,2,24,187,Pieza,7.51E+12,120,120,0,157,120,187,135.34,103.45,161.21,Truper,148.28,172,27112200,Herramientas de albañilería y concreto,P595,Revolvedores,0.715,2933.28,11975
11982,CA-38F,"Cavador mangos de fibra de vidrio 48', TRUPER EXPERT",MM00,2,0,760,Pieza,7.50E+12,525,515,0,625,525,760,538.79,452.59,655.17,Expert,594.83,690,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P402,Cavadores nacionales y Latam,4.387,14171.971,11982
12012,5L,"Cepillo para carpintero #5 base lisa, TRUPER",MM00,1,10,1270,Pieza,7.50E+12,875,875,0,1055,875,1270,909.48,754.31,1094.83,Truper,995.69,1155,27111903,Cepillos de carpintero,P029,Cepillos carpintero,2.582,7490.56,12012
12015,5C,"Cepillo para carpintero #5 base estriada, TRUPER",MM00,1,10,1290,Pieza,7.50E+12,895,895,0,1075,895,1290,926.72,771.55,1112.07,Truper,1012.93,1175,27111903,Cepillos de carpintero,P029,Cepillos carpintero,2.478,7758.08,12015
12024,CH-7,"Cepillo tipo chancla para carpintero, TRUPER",MM00,1,18,660,Pieza,7.50E+12,425,415,0,550,425,660,474.14,366.38,568.97,Truper,517.24,600,27111903,Cepillos de carpintero,P029,Cepillos carpintero,0.72,2004.48,12024
12033,CU-C4/5,"Cuchilla para cepillo de carpintero # 4 y # 5, TRUPER",MM00,6,36,123,Pieza,7.50E+12,79,79,0,103,79,123,88.79,68.1,106.03,Truper,97.41,113,27111903,Cepillos de carpintero,P181,Cepillo (refacciones),0.171,225.314,12033
12058,E-9R,"Escochebre recto 9', TRUPER",MM00,3,18,225,Pieza,7.51E+12,145,145,0,185,145,225,159.48,125,193.97,Truper,176.72,205,27111903,Cepillos de carpintero,P029,Cepillos carpintero,0.304,774.281,12058
12103,C-5/16X6,"Cincel de corte frío de 5/16 X 6', TRUPER",MM00,12,36,42,Pieza,7.50E+12,27,27,0,35,27,42,30.17,23.28,36.21,Truper,32.76,38,27111900,Herramientas gruesas y de acabado,P773,Cinceles y punzones,0.05,82.62,12103
12106,C-3/8X6,"Cincel de corte frío de 3/8 X 6', TRUPER",MM00,12,36,46,Pieza,7.50E+12,29,29,0,38,29,46,32.76,25,39.66,Truper,36.21,42,27111900,Herramientas gruesas y de acabado,P773,Cinceles y punzones,0.075,75.158,12106
12115,C-1/2X6,"Cincel de corte frío de 1/2 X 6', TRUPER",MM00,6,36,62,Pieza,7.50E+12,40,40,0,52,40,62,44.83,34.48,53.45,Truper,49.14,57,27111900,Herramientas gruesas y de acabado,P773,Cinceles y punzones,0.138,112.155,12115
12121,C-1/2X10,"Cincel de corte frío de 1/2 X 10', TRUPER",MM00,6,36,90,Pieza,7.50E+12,57,57,0,74,57,90,63.79,49.14,77.59,Truper,70.69,82,27111900,Herramientas gruesas y de acabado,P773,Cinceles y punzones,0.22,163.135,12121
12127,C-5/8X6,"Cincel de corte frío de 5/8 X 6', TRUPER",MM00,6,36,62,Pieza,7.50E+12,40,40,0,52,40,62,44.83,34.48,53.45,Truper,49.14,57,27111900,Herramientas gruesas y de acabado,P773,Cinceles y punzones,0.136,115.461,12127
12138,PUDE-1100,"Estuche con 5 puntas de cruz PH0 largo 1', TRUPER EXPERT",MM00,6,72,39,Caja,7.51E+12,25,25,0,33,25,39,28.45,21.55,33.62,Expert,31.03,36,27111734,Destornillador de múltiples puntas,P118,Puntas para desarmador,0.035,93.227,12138
12139,C-3/4X6,"Cincel de corte frío de 3/4 X 6', TRUPER",MM00,6,36,84,Pieza,7.50E+12,53,53,0,69,53,84,59.48,45.69,72.41,Truper,65.52,76,27111900,Herramientas gruesas y de acabado,P773,Cinceles y punzones,0.18,133.025,12139
12142,C-3/4X8,"Cincel de corte frío de 3/4 X 8', TRUPER",MM00,6,36,98,Pieza,7.50E+12,62,62,0,80,62,98,68.97,53.45,84.48,Truper,75.86,88,27111900,Herramientas gruesas y de acabado,P773,Cinceles y punzones,0.235,158.062,12142
12145,C-3/4X10,"Cincel de corte frío de 3/4 X 10', TRUPER",MM00,6,36,109,Pieza,7.50E+12,69,69,0,89,69,109,76.72,59.48,93.97,Truper,85.34,99,27111900,Herramientas gruesas y de acabado,P773,Cinceles y punzones,0.291,206.82,12145
12147,PUDE-1202,"Estuche con 5 puntas de cruz PH2 largo 2', TRUPER EXPERT",MM00,6,72,55,Caja,7.51E+12,35,35,0,45,35,55,38.79,30.17,47.41,Expert,43.1,50,27111734,Destornillador de múltiples puntas,P118,Puntas para desarmador,0.081,141.165,12147
12148,C-3/4X12,"Cincel de corte frío de 3/4 X 12', TRUPER",MM00,6,36,125,Pieza,7.50E+12,80,80,0,105,80,125,90.52,68.97,107.76,Truper,99.14,115,27111900,Herramientas gruesas y de acabado,P773,Cinceles y punzones,0.348,276.943,12148
12151,C-7/8X8,"Cincel de corte frío de 7/8 X 8', TRUPER",MM00,6,36,130,Pieza,7.50E+12,85,85,0,110,85,130,94.83,73.28,112.07,Truper,103.45,120,27111900,Herramientas gruesas y de acabado,P773,Cinceles y punzones,0.346,234.746,12151
