código,clave,descripción,margen de mercado,caja,master,precio,unidad,ean,precio mínimo de venta 2025,precio mínimo de venta 2026,alta rotación,precio mayoreo con IVA,precio distribuidor con IVA,precio público con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio público sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripción Familia,Peso[Kg],Volumen[cm3],HD
47021,TA-1051DB,"Tarja de empotrar 100x51cm tina derecha, FOSET BASIC",MM00,1,5,1190,Pieza,7.51E+12,825,825,0,990,825,1190,853.45,711.21,1025.86,Foset,939.66,1090,52141611,Lavadero,P514,Tarjas,3.472,13574.466,
47022,TA-1202TIB,"Tarja de empotrar 120x50cm doble tina izquierda, FOSET BASIC",MM00,1,5,1950,Pieza,7.51E+12,1350,1350,0,1625,1350,1950,1400.86,1163.79,1681.03,Foset,1530.17,1775,52141611,Lavadero,P514,Tarjas,4.456,20196,
47023,TA-1202TDB,"Tarja de empotrar 120x50cm doble tina derecha, FOSET BASIC",MM00,1,5,1950,Pieza,7.51E+12,1350,1350,0,1625,1350,1950,1400.86,1163.79,1681.03,Foset,1530.17,1775,52141611,Lavadero,P514,Tarjas,4.5,19910.4,
47024,TA-842TB,"Tarja de empotrar 84x56cm doble tina, FOSET BASIC",MM00,1,5,1190,Pieza,7.51E+12,825,825,0,990,825,1190,853.45,711.21,1025.86,Foset,939.66,1090,52141611,Lavadero,P514,Tarjas,3.76,12312.791,
47025,TA-553B,"Tarja de empotrar sencilla 50x53cm, FOSET BASIC",MM00,1,5,760,Pieza,7.51E+12,525,525,0,625,525,760,538.79,452.59,655.17,Foset,594.83,690,52141611,Lavadero,P514,Tarjas,2.096,9331.74,
47026,TA-850IB,"Tarja de sobreponer 80x50cm tina izquierda, FOSET BASIC",MM00,1,5,1015,Pieza,7.51E+12,695,695,0,835,695,1015,719.83,599.14,875,Foset,793.1,920,52141611,Lavadero,P514,Tarjas,2.676,17829.396,
47027,TA-850DB,"Tarja de sobreponer 80x50cm tina derecha, FOSET BASIC",MM00,1,5,1015,Pieza,7.51E+12,695,695,0,835,695,1015,719.83,599.14,875,Foset,793.1,920,52141611,Lavadero,P514,Tarjas,2.792,17291.04,
47028,TA-1050IB,"Tarja de sobreponer 100x50cm tina izquierda, FOSET BASIC",MM00,1,5,1155,Pieza,7.51E+12,795,795,0,955,795,1155,823.28,685.34,995.69,Foset,909.48,1055,52141611,Lavadero,P514,Tarjas,3.144,22725.261,
47029,TA-1050DB,"Tarja de sobreponer 100x50cm tina derecha, FOSET BASIC",MM00,1,5,1155,Pieza,7.51E+12,795,795,0,955,795,1155,823.28,685.34,995.69,Foset,909.48,1055,52141611,Lavadero,P514,Tarjas,3.252,21634.2,
47033,AWC-40C,"Asiento redondo para WC, abierto, beige, AQUA",MM0,1,10,289,Pieza,7.51E+12,199,199,0,239,199,289,206.03,171.55,249.14,Foset,225.86,262,42211600,Baño y ayudas de baño para personas físicamente discapacitadas,P640,Asientos para WC,1.29,10070.475,
47034,AWC-40Z,"Asiento redondo para WC, abierto, azul, AQUA",MM0,1,10,289,Pieza,7.51E+12,199,199,0,239,199,289,206.03,171.55,249.14,Foset,225.86,262,42211600,Baño y ayudas de baño para personas físicamente discapacitadas,P640,Asientos para WC,1.41,10070.475,
47035,AWC-45C,"Asiento alargado para WC, abierto, beige, AQUA",MM0,1,8,435,Pieza,7.51E+12,299,299,0,359,299,435,309.48,257.76,375,Foset,340.52,395,42211600,Baño y ayudas de baño para personas físicamente discapacitadas,P640,Asientos para WC,1.94,12765.606,
47036,AWC-45Z,"Asiento alargado para WC, abierto, azul, AQUA",MM0,1,8,435,Pieza,7.51E+12,299,299,0,359,299,435,309.48,257.76,375,Foset,340.52,395,42211600,Baño y ayudas de baño para personas físicamente discapacitadas,P640,Asientos para WC,1.9,12435.84,
47037,CE-206S,"Contra para lavabo, sin rebosadero, sistema push, cromo",MM00,2,24,310,Pieza,7.51E+12,195,195,0,255,195,310,219.83,168.1,267.24,Foset,241.38,280,40141901,Conductos flexibles,P854,"Céspoles, contras, extensiones y casquillos",0.285,1141.087,
47040,POBA-10G,"Portalámpara de baquelita, sencillo a granel, VOLTECK",MM00,20,200,12,Pieza,7.51E+12,7,7,0,10,7,12,8.62,6.03,10.34,Volteck,9.48,11,39111500,Iluminación de interiores y artefactos,P115,Portalámparas,0.02,90.06,
47041,COSO-DAG,"Contacto de sobreponer dúplex, 2 polos+tierra a granel",MM00,10,200,26,Pieza,7.51E+12,17,17,0,22,17,26,18.97,14.66,22.41,Volteck,20.69,24,39122200,Interruptores eléctricos y accesorios,P039,"Artefactos eléctricos, VOLTECK",0.094,124.875,
47042,APSO-SG,"Interruptor de sobreponer sencillo, a granel, VOLTECK",MM00,10,200,12.5,Pieza,7.51E+12,8,8,0,10.5,8,12.5,9.05,6.9,10.78,Volteck,9.91,11.5,39122200,Interruptores eléctricos y accesorios,P039,"Artefactos eléctricos, VOLTECK",0.03,79.2,
47043,PPTR-EB,"Placa 1 ventana, 3 módulos, línea Española, color blanco",MM00,12,144,24,Pieza,7.51E+12,15,15,0,20,15,24,17.24,12.93,20.69,Volteck,18.97,22,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.041,212.755,
47045,APSE-EB,"Interruptor sencillo 1 módulo, línea Española, color blanco",MM00,12,144,24,Pieza,7.51E+12,15,15,0,20,15,24,17.24,12.93,20.69,Volteck,18.97,22,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.025,81.34,
47046,APSE15-EB,"Interruptor sencillo 1.5 módulos,línea Española,color blanco",MM00,12,144,24,Pieza,7.51E+12,15,15,0,20,15,24,17.24,12.93,20.69,Volteck,18.97,22,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.025,108.394,
47047,APSE3-EB,"Interruptor sencillo 3 módulos, línea Española, color blanco",MM00,12,72,26,Pieza,7.51E+12,17,17,0,22,17,26,18.97,14.66,22.41,Volteck,20.69,24,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.03,161.909,
